study,value,value_label,bias2,bias2_raw,bias2_mc_correction,bias2_ci_low,bias2_ci_high,variance,variance_ci_low,variance_ci_high,noise,expected_mse,empirical_mse,decomposition_gap
sample_size,40.0,n_train,0.0014335895575373569,0.004777785224761184,0.0033441956672238273,-0.0015142140498423814,0.004381393164917095,0.1337678266889531,0.12070813258299151,0.14682752079491468,0.12249999999999998,0.25770141624649046,0.25247785350051016,-0.0052235627459802925
sample_size,80.0,n_train,0.0010949558501324582,0.003537156859194078,0.0024422010090616197,-0.0008982844222906235,0.00308819612255554,0.09768804036246478,0.09204012695813284,0.10333595376679673,0.12249999999999998,0.22128299621259723,0.2125734653624231,-0.008709530850174119
sample_size,160.0,n_train,1.6210620579435722e-05,0.0018576678875477004,0.0018414572669682647,-0.0012327356848570244,0.0012651569260158958,0.07365829067873059,0.06914834177928343,0.07816823957817774,0.12249999999999998,0.19617450129931002,0.1886103550400257,-0.00756414625928431
sample_size,320.0,n_train,0.00036598226697595365,0.0016168864559319412,0.0012509041889559875,-0.0005094416360093824,0.0012414061699612899,0.0500361675582395,0.04691716777130003,0.05315516734517897,0.12249999999999998,0.17290214982521546,0.16898496011894978,-0.003917189706265672
noise,0.1,sigma,0.0010365041170336108,0.0012961320572129737,0.00025962794017936287,0.0007216002963355133,0.0013514079377317085,0.010385117607174515,0.009796398633727103,0.010973836580621926,0.010000000000000002,0.021421621724208126,0.020486220192867593,-0.000935401531340533
noise,0.2,sigma,0.000494518405118324,0.0011648054192821928,0.0006702870141638689,1.1822996919883921e-05,0.000977213813316764,0.026811480566554753,0.025347553331912197,0.02827540780119731,0.04000000000000001,0.06730599897167308,0.06468238398909974,-0.0026236149825733385
noise,0.35,sigma,1.6210620579435722e-05,0.0018576678875477004,0.0018414572669682647,-0.0012327356848570244,0.0012651569260158958,0.07365829067873059,0.06914834177928343,0.07816823957817774,0.12249999999999998,0.19617450129931002,0.1886103550400257,-0.00756414625928431
noise,0.6,sigma,-0.000535509016497948,0.00466741544520648,0.0052029244617044276,-0.0037660556721984604,0.0026950376392025645,0.2081169784681771,0.1958982557436013,0.22033570119275286,0.36,0.5675814694516791,0.5421585322572554,-0.025422937194423678
noise,0.9,sigma,0.000453323954288631,0.012009948140140997,0.011556624185852366,-0.007253672671937817,0.00816032058051508,0.4622649674340947,0.43610461098001163,0.4884253238881777,0.81,1.2727182913883834,1.2194346855236762,-0.05328360586470726
