epoch,train_loss,train_rmse,val_rmse
1,0.45159206806159713,0.9338590836623504,0.878067584404423
2,0.4431617442990243,0.9276510720016847,0.8733781300033975
3,0.4397120157979975,0.9232088933796135,0.866219872732858
4,0.4323404906936365,0.915801672414716,0.8591119596739578
5,0.4284254079309297,0.9108500602765529,0.8520218183872317
6,0.42079754604094977,0.9028602231197751,0.8445397829572057
7,0.41561763720228295,0.8962602725452022,0.83569484666876
8,0.40751429825693064,0.8874080500111522,0.827486033829116
9,0.40117003544774343,0.879572580377476,0.8177338216213215
10,0.3922717116930147,0.869314857692827,0.807929762875573
11,0.3842134776069996,0.8595496205984611,0.7971886229844197
12,0.374442296019733,0.8479749636378905,0.7860467796066521
13,0.3655009764612034,0.837157194475697,0.7752550691674807
14,0.35486628528488684,0.8242371191955746,0.7626340419029606
15,0.34486067942964876,0.8119028944358765,0.7513394472954086
16,0.3336364521614689,0.7979374419508208,0.7377400658835531
17,0.32306311089877315,0.7846013122765375,0.7267292735834823
18,0.31112924860324415,0.7694724325220521,0.7119930793285126
19,0.3002480875092787,0.7552160584094078,0.7016830762008688
20,0.2879283926176214,0.7388480168330848,0.6858653694552242
21,0.27665867816340795,0.7236364530737787,0.6760851368913217
22,0.2640529850832383,0.7063157007727574,0.6596252563853389
23,0.25267914525048135,0.6902919211750472,0.6505004663436977
24,0.23996129294380458,0.6721816059574075,0.6335449690624518
25,0.22871036695792402,0.6555828202912437,0.6251210706906986
26,0.21632867489467844,0.6372003882072589,0.6080906810713228
27,0.20568068798845238,0.620857403040629,0.6009245552724705
28,0.19380439775774017,0.6024849378522222,0.5838120557253671
29,0.18388774261227409,0.5862841384860481,0.577480235440602
30,0.17251434805237242,0.5685624973031976,0.561006654050218
31,0.16392465393747485,0.5532542347641417,0.5561262988087458
32,0.15290786948011784,0.5373003529766741,0.5407443356874878
33,0.14666780802649093,0.5240313095785448,0.5385624824199767
34,0.13657925662301335,0.5091278702319728,0.5230825658785826
35,0.13185852598563327,0.49770314740243043,0.5224895410988306
36,0.12312081611941261,0.4841543080016414,0.5085372150402473
37,0.11934957519907864,0.4742910232267496,0.5086465167712136
38,0.11199978034022956,0.4626882851650831,0.4972316623476708
39,0.10907962114875411,0.4541858079270178,0.49793634727704567
40,0.10307111933974909,0.44487826176567075,0.48947240598803277
41,0.10117715865396787,0.4386280628897883,0.4913286786258522
42,0.09667777442712755,0.43239510124752406,0.48648403670122187
43,0.09618952138755794,0.42901552945173055,0.4891769460318296
44,0.09304958812957942,0.425278765695764,0.4854774266039259
45,0.09345278246529602,0.4231488600382223,0.4880445307190882
46,0.09080772015967101,0.4205343259356143,0.48515882859380016
47,0.09172917927781599,0.4193140725148069,0.48757829033720046
48,0.08940621083376464,0.4173302823630728,0.485203347472762
49,0.09066885066193273,0.41687828808244387,0.4877901865700236
50,0.08862230897296149,0.4167934748389819,0.48644161981475087
51,0.0898931037284571,0.4157507058161623,0.48726901596469674
52,0.08798876897972396,0.4142631073656947,0.4858302289670928
53,0.08953717812309356,0.41398703079909976,0.48641222461703437
54,0.0876958589966568,0.41255980103873835,0.48590395400608977
55,0.08944733601882539,0.4129229014835145,0.48663758208024166
56,0.08751812501269068,0.4117259019785326,0.48636044013452034
57,0.08935956413654932,0.41240160760757244,0.48729858641169527
58,0.08736271250644723,0.4113264215971835,0.4868158137573182
59,0.08916073463695448,0.41200743583593263,0.48728705196904754
60,0.08719503542876937,0.41107046664711805,0.487254864966139
61,0.08893532813359663,0.41188777546660005,0.48826559952436405
62,0.08683941711416679,0.4119605278874707,0.48768760395703087
63,0.08829444119257772,0.41161863836911816,0.4902387642864995
64,0.08669964171563921,0.4104642354055801,0.487087352902737
65,0.08841726613507202,0.41093464526617984,0.4897076386154522
66,0.08656916222938581,0.41063196296340865,0.4880556005183695
67,0.08809543156114201,0.41075454275035966,0.4907158142860189
68,0.08650252076485496,0.4097140465604718,0.4876904118123769
69,0.088205942372326,0.4105423157913638,0.4899251456224744
70,0.08657599744405137,0.4115758775456279,0.4904911006222695
71,0.08764298657004216,0.4111954428808227,0.4911673292370987
72,0.08609558390190701,0.4110242779798127,0.49001907882920653
73,0.08748177424606397,0.4106523716403635,0.4911029213443273
74,0.08596913796240684,0.40956265807758196,0.4886814954885734
75,0.08742748397301403,0.4106076046413874,0.48996380392526695
76,0.08643512295112131,0.4120965943654901,0.48960336791146886
77,0.08722889378072571,0.4119911262980961,0.49011746321025873
78,0.08629306720800661,0.41330522545896836,0.4896360228393213
79,0.08725187923656483,0.4122068458990855,0.4896659502622891
80,0.08606708842810368,0.4133497761880495,0.48964940941320517
81,0.08715507410368369,0.41199277571817483,0.48953288624587754
82,0.08598452746262102,0.41364993690611096,0.4900994068147563
83,0.08707698487647368,0.411881031982304,0.4894600027917725
84,0.08557835433060124,0.4123855298085784,0.4894456425956758
85,0.08681845672059395,0.4110258029768803,0.4890910897489783
86,0.08531264073064931,0.41027513856570225,0.4874941039408567
87,0.08656579508537482,0.4102222385157002,0.48821439809480405
88,0.08565860124202808,0.41178112310032705,0.4878807600419563
89,0.08662377790739996,0.41072327926817775,0.48801593053732717
90,0.085468106258399,0.4120965520100026,0.48795228127082807
91,0.08657644162860259,0.4106581262538255,0.4877712381001517
92,0.08531574965867386,0.4123972303183208,0.4886133501379971
93,0.08651691482794327,0.4104893280598114,0.4876895078094024
94,0.08497873379244891,0.4100758473493388,0.4863260698103584
95,0.08593857232515018,0.40987620649243783,0.48681481211610894
96,0.08533645062570933,0.41098637621816553,0.48479669056018887
97,0.08581855339205739,0.4102528512320029,0.4854540584432437
98,0.08528129450897916,0.41103802030984427,0.48301633237223596
99,0.08552236092044692,0.41049887556372416,0.4843022450208592
100,0.0853532682519156,0.4108518889039405,0.4829028611894303
101,0.08536007308375378,0.4084710675382329,0.4826941961231717
102,0.08478728439614615,0.40967613008088605,0.48093422261322083
103,0.08581412855598865,0.4087507459931068,0.48216792153486443
104,0.08485112102868012,0.40995861028849384,0.48028837261412793
105,0.08585783323268709,0.40873351027644644,0.4814693953677029
106,0.08482184046116241,0.4099992576058188,0.4800229882064667
107,0.08583851037136615,0.4087015085180206,0.48098293952342347
108,0.08482745712237136,0.4100942216673924,0.4798587208943815
109,0.0858331288552526,0.40873948417386174,0.48071928081765236
110,0.08479228510038198,0.4101189547441836,0.4798569443894078
111,0.08581500176240237,0.40875434722253984,0.4806345926472064
112,0.08471017590619262,0.41017455450874435,0.48025928304224946
113,0.0857716387536359,0.4087380978265106,0.4807248134320388
114,0.08443010675881521,0.41009083569753735,0.4812236609772092
115,0.08568970510821633,0.40846604508781537,0.48129302237650773
116,0.08414918204368202,0.4079654756870198,0.4803963598157575
117,0.08532000710464586,0.4077589623281622,0.48097658722996245
118,0.08449330266831656,0.40896122826778836,0.4795377144349585
119,0.08547050573998323,0.40801915537153477,0.48000590951716304
120,0.08456531175585383,0.4092331895889923,0.4785050807612024
121,0.08555017124672173,0.40807554027250975,0.4790307927552718
122,0.08461226730920304,0.4093010679906464,0.47768770249129305
123,0.08556003237739583,0.40814252410250923,0.4782527694047586
124,0.08465371196512077,0.4093864161559694,0.4770145028591415
125,0.08565434944881205,0.40821597534183907,0.47775209630376536
126,0.08469766677522335,0.4095421743826546,0.47668763254543345
127,0.08570665708151622,0.4083260013624812,0.4774073901412055
128,0.08475414727610929,0.4096690890081519,0.47661125786579905
129,0.08571608659501656,0.4084745166423015,0.4771934736536946
130,0.08481107970817106,0.4098352995548109,0.4765515814298462
131,0.08575963882730142,0.4086140334182451,0.4770510164760693
132,0.08467839056512444,0.40975648596911346,0.4767024929131701
133,0.0856931919936836,0.40848976461321435,0.47702481652811946
134,0.08423655563617145,0.4091669651770336,0.47735718398497534
135,0.08543954357805857,0.4078001580909551,0.4774448732970429
136,0.08388353665623083,0.4072575406930244,0.4767699531776312
137,0.08488434641287618,0.40692697284556556,0.4776918933954536
138,0.0841354442538581,0.4081369502344387,0.47647779704189824
139,0.08479306227422871,0.4072058421137553,0.4770250815533576
140,0.08407602840042258,0.40821306416722164,0.4756334277521869
141,0.08455194977315095,0.40770747807302915,0.4766290689162357
142,0.08431146261906801,0.40859439491295085,0.47632723098214685
143,0.08452798365105471,0.40618787355320674,0.4759269980549395
144,0.08374332245817362,0.4075006448830419,0.47437916934954855
145,0.08475104576886495,0.40658559286750445,0.4751422750779718
146,0.08380726286617031,0.4077932656264723,0.4736103481543159
147,0.08451809315976176,0.40696491659075124,0.47463290048999107
148,0.08391182569634507,0.40840305000818056,0.4737705672899567
149,0.08446608448321467,0.4055734366662921,0.4738391173647052
150,0.0836064762474858,0.407333502027585,0.4733922931165426
151,0.08483041392144233,0.4059874585863539,0.47425315925274797
152,0.0836630131800489,0.4077261275307657,0.4736369023405343
153,0.08486782522633389,0.40620167690504355,0.47419070140059555
154,0.08366359543551574,0.4080282242982689,0.4741860472284933
155,0.0849255636537142,0.40640053504914175,0.47445567421954055
156,0.08330200307469494,0.4074066235036468,0.4748743750307881
157,0.08475835830501392,0.4059182487531891,0.47520801049517386
