model,complexity_label,complexity,bias2,bias2_ci_low,bias2_ci_high,variance,variance_ci_low,variance_ci_high,noise,expected_mse,empirical_mse,decomposition_gap,fit_time_sec
Polynomial Ridge,degree,7,0.0007101726411120538,0.0005169153947415827,0.0009034298874825248,0.00726006408893799,0.006322683972616801,0.008197444205259178,0.12249999999999998,0.13047023673005004,0.12725839551785334,-0.0032118412121966977,0.05563712501316331
MLP,hidden_width,256,0.0014132652671546605,0.000881284356061494,0.001945246178247827,0.007244810140060285,0.006208306894764439,0.008281313385356131,0.12249999999999998,0.13115807540721494,0.12762042570916127,-0.0035376496980536742,17.67525908301468
KNN,n_neighbors,12,0.005519436864087949,0.004572690349892345,0.006466183378283552,0.014759113684438822,0.013498581277968422,0.016019646090909223,0.12249999999999998,0.14277855054852676,0.13830484351301112,-0.004473707035515639,0.05248329200549051
Random Forest,max_depth,4,0.0077621797302915565,0.006618609877483833,0.00890574958309928,0.025578437423321887,0.023100996051048137,0.028055878795595637,0.12249999999999998,0.15584061715361341,0.15365617838428616,-0.0021844387693272516,2.406124417000683
Decision Tree,max_depth,5,0.0011733143414831568,0.0002781055949511459,0.0020685230880151677,0.05647799937708118,0.05251322386640311,0.06044277488775925,0.12249999999999998,0.18015131371856433,0.17959683157110787,-0.0005544821474564587,0.02743724998435937
