dataset,model,rmse_mean,rmse_std,r2_mean,fit_time_sec
California Housing,MLP,0.5702887646845468,0.018690057741046467,0.758199593919649,0.469549830754598
California Housing,Random Forest,0.6123876477700223,0.02089827549428145,0.7209370691229026,0.2297488530476888
California Housing,Gradient Boosting,0.6963313610131416,0.015215627816030697,0.6396925121673719,0.41562263170878094
California Housing,Ridge,0.7592248063170476,0.04069755926013877,0.5699366321453414,0.001471265157063802
California Housing,Decision Tree,0.7626811800347408,0.019002496204636544,0.567511840904718,0.006892776489257813
California Housing,Dummy,1.1610719415999082,0.02157792154940244,-0.0011265712649707548,0.00030112266540527344
Diabetes,Ridge,54.85687066996173,3.046001538629361,0.4856753449746315,0.001225439707438151
Diabetes,MLP,55.9824281412377,4.321070101650886,0.4644547522053133,0.027975845336914062
Diabetes,Gradient Boosting,56.53332113864935,3.1626791017986817,0.45465135320320893,0.044646628697713214
Diabetes,Random Forest,57.34886554242714,3.91577136530691,0.4384330020103046,0.08012151718139648
Diabetes,Decision Tree,64.30290212589814,3.789489404494594,0.29253320455381854,0.0010521411895751953
Diabetes,Dummy,77.15922215910031,3.1554284993827317,-0.01572398581575308,0.0008253097534179687
